year;educ;speduc
2021;12;16
2021;13;12
2021;11;18
2021;16;16
2021;18;14
2021;14;12
2021;16;15
2021;14;16
2021;12;12
2021;20;16
2021;16;16
2021;16;16
2021;16;17
2021;16;18
2021;20;18
2021;18;16
2021;16;16
2021;16;17
2021;3;12
2021;14;14
2021;16;12
2021;14;13
2021;17;18
2021;14;12
2021;16;16
2021;12;17
2021;12;12
2021;18;13
2021;16;16
2021;15;16
2021;16;20
2021;12;12
2021;16;16
2021;18;12
2021;18;20
2021;17;18
2021;13;14
2021;14;14
2021;8;12
2021;16;16
2021;20;18
2021;20;16
2021;20;12
2021;18;17
2021;20;20
2021;18;20
2021;16;16
2021;13;12
2021;13;13
2021;16;19
2021;16;19
2021;12;14
2021;19;17
2021;18;18
2021;18;19
2021;16;16
2021;16;17
2021;16;16
2021;14;12
2021;16;12
2021;20;20
2021;16;20
2021;19;16
2021;14;15
2021;12;12
2021;17;18
2021;14;12
2021;20;12
2021;16;2
2021;18;18
2021;16;16
2021;16;16
2021;12;14
2021;12;12
2021;12;12
2021;13;13
2021;14;16
2021;13;16
2021;16;16
2021;17;16
2021;12;13
2021;16;16
2021;20;14
2021;16;16
2021;9;12
2021;6;12
2021;12;12
2021;0;7
2021;17;16
2021;18;12
2021;20;16
2021;14;14
2021;14;10
2021;16;16
2021;18;18
2021;16;18
2021;14;10
2021;12;12
2021;15;15
2021;16;16
2021;16;16
2021;14;17
2021;14;12
2021;20;14
2021;16;14
2021;18;16
2021;16;12
2021;14;12
2021;17;17
2021;16;16
2021;16;16
2021;20;17
2021;19;16
2021;16;16
2021;15;18
2021;16;14
2021;15;16
2021;19;17
2021;18;20
2021;18;12
2021;15;17
2021;13;12
2021;13;12
2021;16;16
2021;16;14
2021;17;17
2021;16;16
2021;16;16
2021;19;19
2021;16;16
2021;12;13
2021;18;18
2021;16;13
2021;12;10
2021;12;12
2021;16;16
2021;12;18
2021;16;13
2021;20;20
2021;13;12
2021;13;12
2021;17;16
2021;19;19
2021;19;17
2021;16;18
2021;19;20
2021;15;13
2021;13;18
2021;18;12
2021;13;14
2021;18;18
2021;16;16
2021;18;18
2021;18;18
2021;16;16
2021;19;18
2021;14;12
2021;16;16
2021;20;12
2021;11;10
